기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
하이스팩4호,2019.04.11,"2,000~2,000","2,000","8,000",,-,하이투자증권,317240
현대오토에버(유가),2019.03.13,"40,000~44,000","48,000","140,400",797.36:1,57.79%,"NH투자증권,현대차투자증권,미래에셋대우",307950
케이비스팩17호,2019.03.13,"2,000~2,000","2,000","10,000",,-,KB증권,317030
아모그린텍,2019.03.12,"8,800~9,900","9,900","36,326",164.22:1,3.05%,삼성증권,125210
지노믹트리,2019.03.11,"17,000~25,000","27,000","68,000",372:1,22.80%,키움증권,228760
이지케어텍,2019.03.05,"10,100~12,300","12,300","13,130",1108.03:1,40.25%,미래에셋대우,099750
유안타스팩4호,2019.03.04,"2,000~2,000","2,000","8,200",,-,유안타증권,313750
미래에셋벤처투자,2019.02.27,"3,700~4,500","4,500","16,650",441.4:1,3.70%,"KB증권,대신증권",100790
드림텍(유가),2019.02.25,"11,000~13,000","13,000","50,001",395.96:1,0.80%,NH투자증권,192650
에코프로비엠,2019.02.14,"37,500~42,900","48,000","112,500",988.49:1,45.04%,"대신증권,SK증권,유안타증권,하나금융투자",247540
셀리드,2019.01.29,"25,000~31,000","33,000","30,000",778.77:1,10.49%,삼성증권,299660
천보,2019.01.21,"35,000~40,000","40,000","87,500",891.1:1,15.80%,하나금융투자,278280
이노테라피,2019.01.16,"20,200~25,200","18,000","9,000",154.44:1,2.83%,대신증권,246960
노랑풍선,2019.01.15,"15,500~19,000","20,000","15,500",978.43:1,12.42%,"한국투자증권,KB증권",104620
웹케시,2019.01.09,"24,000~26,000","26,000","23,280",614:1,6.80%,"하나금융투자,BNK투자증권",053580
에어부산(유가),2018.12.13,"3,600~4,000","3,600","18,745",23.89:1,0.40%,"NH투자증권,미래에셋대우,BNK투자증권",298690
키움스팩5호,2018.12.12,"2,000~2,000","2,000","7,000",,-,키움증권,311270
비피도,2018.12.11,"22,100~28,700","18,000","9,061",74.62:1,-,한국투자증권,238200
엔에이치스팩13호,2018.12.10,"2,000~2,000","2,000","6,000",,-,NH투자증권,310840
유틸렉스,2018.12.10,"38,000~50,000","50,000","27,626",597.20:1,18.63%,NH투자증권,263050
디케이티,2018.12.06,"6,000~7,400","7,400","12,116",771.42:1,3.50%,NH투자증권,290550
에이비엘바이오,2018.12.06,"13,000~17,000","15,000","78,000",60.08:1,10.99%,한국투자증권,298380
위지윅스튜디오,2018.12.06,"9,000~13,000","11,000","19,795",177.33:1,1.13%,"삼성증권,NH투자증권",299900
미래에셋대우스팩2호,2018.12.05,"2,000~2,000","2,000","5,500",,-,미래에셋대우,310200
한국스팩8호,2018.12.05,"2,000~2,000","2,000","6,000",,-,한국투자증권,310870
신영스팩4호,2018.12.04,"2,000~2,000","2,000","8,500",,-,신영증권,307180
삼성머스트스팩3호,2018.12.04,"2,000~2,000","2,000","7,500",,-,"삼성증권,신한금융투자",309930
대신밸런스스팩6호,2018.12.03,"2,000~2,000","2,000","9,000",,-,대신증권,307750
머큐리,2018.11.29,"5,200~6,100","6,100","26,624",749.57:1,13.35%,미래에셋대우,100590
전진바이오팜,2018.11.28,"15,000~17,000","10,000","7,500",14.69:1,27.20%,미래에셋대우,110020
이노메트리,2018.11.27,"21,000~25,000","26,000","25,331",765.22:1,11.39%,유진투자증권,302430
뉴트리,2018.11.27,"14,500~17,000","14,500","32,799",28.68:1,-,미래에셋대우,270870
골든브릿지이안스팩5호,2018.11.22,"2,000~2,000","2,000","8,500",,-,골든브릿지투자증권,307870
에스케이에이씨피씨스팩4호,2018.11.22,"2,000~2,000","2,000","8,000",,-,SK증권,307070
대유에이피,2018.11.21,"2,600~3,300","3,000","7,280",299.23:1,-,신영증권,290120
교보스팩8호,2018.11.19,"2,000~2,000","2,000","6,200",,-,교보증권,307280
하나머스트스팩6호,2018.11.15,"2,000~2,000","2,000","7,500",,-,하나금융투자,307160
베스파,2018.11.15,"44,800~59,700","35,000","71,680",24.81,-,"미래에셋대우,교보증권",299910
윙입푸드,2018.11.14,"2,000~3,000","2,000","20,400",131.15:1,-,유진투자증권,900340
티로보틱스,2018.11.14,"16,000~18,000","16,000","12,800",56.9 :1,-,키움증권,117730
에코캡,2018.11.12,"4,200~5,200","4,200","16,800",20.66:1,-,IBK투자증권,128540
티앤알바이오팹,2018.11.12,"18,000~23,000","18,000","21,600",101.9:1,1.00%,키움증권,246710
엠아이텍,2018.11.12,"3,900~4,500","4,500","27,300",472.57:1,0.42%,하나금융투자,179290
네오펙트,2018.11.12,"10,000~12,500","11,000","18,000",338.01:1,0.89%,"한국투자증권,삼성증권",290660
남화산업,2018.11.08,"3,100~3,700","3,700","9,572",822.09:1,6.14%,대신증권,111710
싸이토젠,2018.11.08,"13,000~17,000","17,000","15,600",608.85:1,0.70%,키움증권,217330
아시아나IDT(유가),2018.11.07,"19,300~24,100","15,000","63,690",7.04:1,-,KB증권,267850
아주IB투자,2018.11.06,"2,000~2,400","1,500","48,800",40.55:1,-,"미래에셋대우,대신증권",027360
디알젬,2018.11.05,"5,000~7,000","6,500","7,500",785.43:1,1.05%,한국투자증권,263690
파멥신,2018.11.05,"43,000~55,000","60,000","34,400",764.16:1,18.81%,"KB증권,삼성증권",208340
