기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
신신제약,2017.02.08,"5,900~6,700","4,500","19,175",40.88:1,0.06%,케이비증권,002800
피씨엘,2017.02.08,"10,500~13,000","8,000","15,750",6.61:1,0.46%,한국투자증권,241820
호전실업(유가),2017.01.16,"30,000~35,000","25,000","49,940",40.43:1,2.50%,NH투자증권,111110
서플러스글로벌,2017.01.12,"7,400~9,400","8,000","34,410",81.31:1,1.04%,한국투자증권,140070
유바이오로직스,2017.01.09,"6,000~6,800","6,000","19,200",31.09:1,-,한국투자증권,206650
엔에이치스팩11호,2016.12.14,"2,000~2,000","2,000","13,000",,-,NH투자증권,256840
퓨전데이타,2016.12.06,"10,000~11,500","11,500","10,000",345.36:1,12.05%,한국투자증권,195440
디에스씨인베스트먼트,2016.12.05,"2,500~2,800","1,700","10,922",11.2:1,-,키움증권,241520
티에스인베스트먼트,2016.12.01,"1,450~1,550","1,300","8,265",30.87:1,-,한국투자증권,246690
마이크로프랜드,2016.11.28,"7,300~8,500","7,300","21,900",124.3:1,-,키움증권,147760
코썬바이오,2016.11.24,"7,000~9,000","7,000","24,500",54.22:1,-,NH투자증권,204990
신라젠,2016.11.23,"15,000~18,000","15,000","150,000",74.98:1,-,"NH투자증권,하나금융투자,동부증권,메리츠종금증권",215600
애니젠,2016.11.22,"22,000~26,000","18,000","15,400",93.9:1,-,키움증권,196300
유니온커뮤니티,2016.11.21,"4,400~5,000","5,000","12,804",134.5:1,-,미래에셋증권,203450
IBKS스팩5호,2016.11.17,"2,000~2,000","2,000","10,000",,-,아이비케이투자증권,254120
퓨쳐켐,2016.11.16,"19,000~22,000","15,000","26,600",62.51:1,-,"NH투자증권,이베스트투자증권",220100
뉴파워프라즈마,2016.11.16,"15,000~17,000","17,500","25,500",501.2:1,7.80%,키움증권,144960
핸즈코퍼레이션(유가),2016.11.15,"12,000~14,000","12,000","65,784",57.64:1,1.73%,"케이비투자증권,삼성증권",143210
오션브릿지,2016.11.15,"5,400~6,600","6,600","12,231",617.92:1,10.75%,대신증권,241790
엘앤케이바이오,2016.11.14,"14,500~18,000","15,000","14,833",220.1:1,-,NH투자증권,156100
에이치엔티일렉트로닉스,2016.11.14,"14,000~16,000","10,000","18,900",132.1:1,-,키움증권,176440
핸디소프트,2016.11.07,"4,500~5,600","5,600","8,550",262.22:1,-,케이비투자증권,220180
두산밥캣(유가),2016.11.03,"29,000~33,000","30,000","870,817",9.81:1,-,"한국투자증권,신영증권,한화투자증권",241560
에스케이스팩3호,2016.10.31,"2,000~2,000","2,000","6,600",,-,SK증권,232330
삼성바이오로직스(유가),2016.10.26,"113,000~136,000","136,000","1,869,167",295.63:1,24.63%,"한국투자증권,NH투자증권,삼성증권,신한금융투자,케이비투자증권,하나금융투자",207940
클리오,2016.10.25,"36,400~41,000","41,000","163,712",153.08:1,10.42%,NH투자증권,237880
오가닉티코스메틱,2016.10.20,"3,200~3,700","4,000","45,760",672.02:1,11.30%,유진투자증권,900300
로고스바이오시스템스,2016.10.19,"22,200~25,500","25,500","15,719",190.16:1,0.53%,신한금융투자,238120
아이비케이에스지엠비스팩,2016.10.18,"2,000~2,000","2,000","11,000",,-,아이비케이투자증권,252500
인크로스,2016.10.13,"38,000~43,000","43,000","17,917",492.1:1,6.10%,신한금융투자,216050
에이치엘사이언스(구.건강사랑),2016.10.12,"23,900~30,700","27,000","36,115",274.19:1,5.60%,"미래에셋대우,케이비투자증권",239610
코스메카코리아,2016.10.11,"48,000~54,000","54,000","64,320",573.0:1,30.80%,"삼성증권,이베스트투자증권",241710
제이더블유생명과학(유가),2016.10.10,"27,000~32,500","30,000","64,800",224.57:1,7.41%,"케이비투자증권,유안타증권",234080
그레이트리치과기,2016.10.10,"4,000~6,000","5,000","67,500",140.75:1,4.32%,NH투자증권,900290
금세기차륜(골든센츄리),2016.10.04,"3,200~4,200","3,500","25,295",181.93:1,0.55%,유안타증권,900280
인텔리안테크놀로지스,2016.09.28,"18,000~20,500","19,000","26,100",319:1,1.30%,한국투자증권,189300
에이치시티,2016.09.28,"19,200~22,500","17,000","21,820",95.67:1,11.60%,미래에셋대우,072990
잉글우드랩,2016.09.26,"6,000~7,000","6,000","21,000",226.37:1,-,하나금융투자,950140
앤디포스,2016.09.26,"13,000~14,500","14,500","54,600",406.09:1,10.60%,미래에셋대우,238090
수산아이앤티(구.플러스기술),2016.09.22,"10,500~11,500","11,500","17,850",157.55:1,0.64%,삼성증권,050960
미투온,2016.09.20,"3,800~4,300","3,800","27,210",73.1:1,-,미래에셋증권,201490
화승엔터프라이즈(유가),2016.09.08,"14,600~16,500","15,000","114,464",48.46:1,0.21%,한국투자증권,241590
케이비스팩10호,2016.09.07,"2,000~2,000","2,000","10,000",,-,케이비투자증권,250930
엘에스전선아시아(유가),2016.09.05,"10,000~11,500","8,000","126,501",30.57:1,-,"한국투자증권,하나금융투자,이베스트투자증권",229640
유니테크노,2016.08.31,"10,300~11,500","10,300","15,450",233.84:1,-,한국투자증권,241690
교보비엔케이스팩,2016.08.23,"2,000~2,000","2,000","12,000",,-,"교보증권,BNK투자증권",242040
하나금융스팩8호,2016.08.23,"2,000~2,000","2,000","12,000",,-,하나금융투자,250060
자이글,2016.08.18,"20,000~23,000","11,000","112,000",18.90:1,-,"하나금융투자,케이비투자증권",234920
헝셩그룹,2016.08.03,"3,400~5,300","3,600","68,000",93.06:1,-,신한금융투자,900270
에코마케팅,2016.07.18,"27,000~31,000","35,000","29,700",941.86:1,-,한국투자증권,230360
엔지스테크널러지,2016.07.13,"8,900~10,000","10,000","4,156",475.6:1,21.20%,"교보증권,엘아이지투자증권",208860
두올(유가),2016.07.13,"7,500~9,000","8,500","54,750",71.69:1,-,"미래에셋증권,HMC투자증권",016740
팍스넷,2016.07.11,"4,600~5,200","5,200","12,737",753.07:1,5.19%,한국투자증권,038160
우리손에프앤지,2016.07.11,"1,935~2,210","2,210","35,239",455.1:1,40.40%,미래에셋대우,073560
옵토팩,2016.07.05,"5,000~5,900","5,900","3,500",397.4:1,2.82%,아이비케이투자증권,123010
장원테크,2016.07.04,"15,000~17,500","17,500","22,500",216.32:1,11.30%,신한금융투자,174880
대유위니아(구.위니아만도),2016.06.27,"6,800~8,300","6,800","51,000",76.75:1,1.32%,신영증권,071460
한국자산신탁(유가),2016.06.23,"9,100~10,300","10,300","248,405",149.83:1,6.37%,"대신증권,신한금융투자,미래에셋대우",123890
바이오리더스,2016.06.22,"11,000~15,000","15,000","13,200",352.2:1,6.50%,키움증권,142760
피앤씨테크,2016.06.16,"9,000~10,200","10,200","23,850",306.39:1,10.89%,케이비투자증권,237750
로스웰,2016.06.13,"2,100~3,200","3,200","63,000",386.96:1,26.60%,신한금융투자,900260
해성디에스(유가),2016.06.09,"12,000~15,000","12,000","48,000",188.69:1,12.20%,NH투자증권,195870
에스티팜,2016.06.09,"24,000~27,000","29,000","111,936",717.41:1,60.03%,"유진투자증권,한국투자증권",237690
녹십자랩셀,2016.06.08,"13,600~15,900","18,500","27,200",733.72:1,51.66%,"하나금융투자,엘아이지투자증권",144510
한국스팩4호,2016.06.07,"2,000~2,000","2,000","10,000",,-,한국투자증권,240540
알엔투테크놀로지,2016.06.07,"5,100~5,800","5,800","3,417",570.26:1,-,하나금융투자,148250
미래에셋스팩5호,2016.05.25,"2,000~2,000","2,000","9,000",,-,미래에셋증권,239340
용평리조트(유가),2016.05.10,"8,100~9,200","7,000","135,432",28.1:1,0.10%,"대우증권,대신증권",070960
해태제과식품(유가),2016.04.21,"12,300~15,100","15,100","71,709",342.99:1,24.63%,"NH투자증권,삼성증권",101530
레이언스,2016.03.24,"22,000~25,000","25,000","88,000",430.31:1,20.70%,대신증권,228850
씨엠에스에듀,2016.03.24,"19,000~23,200","23,200","23,560",302.17:1,28.83%,"삼성증권,유안타증권",225330
동양파일,2016.03.23,"10,000~11,600","10,000","80,000",12.56:1,-,대신증권,228340
대림씨엔에스(유가),2016.03.15,"23,500~27,700","27,700","104,720",85.25:1,15.90%,대우증권,004440
팬젠,2016.02.23,"12,500~16,500","16,500","18,750",614.46:1,14.04%,한국투자증권,222110
하이에이아이스팩1호,2016.02.17,"2,000~2,000","2,000","9,200",,-,하이투자증권,235010
IBKS스팩4호,2016.02.16,"2,000~2,000","2,000","3,500",,-,아이비케이투자증권,230980
에이피위성통신,2016.02.15,"8,700~9,700","9,700","28,344",271.55:1,7.80%,현대증권,211270
케이비스팩9호,2016.02.15,"2,000~2,000","2,000","27,000",,-,케이비투자증권,232270
큐리언트,2016.02.15,"18,000~21,000","21,000","32,508",709.15:1,35.24%,한국투자증권,115180
안트로젠,2016.01.27,"17,000~22,000","24,000","10,200",531.1:1,30.60%,키움증권,065660
제이에스코퍼레이션(유가),2016.01.20,"19,000~23,000","23,000","62,379",433.6:1,35.90%,NH투자증권,194370
아이엠텍,2016.01.20,"6,500~7,500","7,500","27,950",112.3:1,25.00%,대우증권,226350
차이나크리스탈신소재,2016.01.14,"2,900~4,200","3,000","26,970",36.30:1,0.90%,신한금융투자,900250
유니트론텍,2016.01.14,"12,300~14,000","14,000","8,056",455.80:1,21.70%,하나금융투자,142210
한솔씨앤피,2016.01.13,"13,000~16,800","13,000","11,700",136.97:1,5.97%,"신한금융투자,케이비투자증권",221610
에스와이패널,2015.12.14,"7,000~8,000","5,000","14,951",4.88:1,-,미래에셋증권,109610
코리아오토글라스(유가),2015.12.14,"10,500~12,000","11,000","84,420",57.68:1,4.47%,NH투자증권,344820
육일씨엔에쓰,2015.12.10,"6,000~6,700","6,000","4,200",8.74:1,-,엘아이지투자증권,191410
코디엠,2015.12.10,"4,700~5,800","4,700","4,700",39.79:1,2.51%,미래에셋증권,224060
대신밸런스스팩2호,2015.12.10,"2,000~2,000","2,000","20,000",,-,대신증권,232140
이에스브이,2015.12.10,"13,000~15,000","10,000","20,540",23.29:1,2.38%,NH투자증권,223310
잇츠스킨(유가),2015.12.10,"208,500~253,000","170,000","161,213",11.53:1,8.70%,"대우증권,삼성증권",226320
아진산업,2015.12.09,"6,500~7,500","6,500","29,250",11.61:1,8.70%,미래에셋증권,013310
휴젤,2015.12.09,"190,000~210,000","150,000","54,000",6.7:1,8.61%,"한국투자증권,대우증권,하나금융투자",145020
한국맥널티,2015.12.08,"10,500~11,500","8,000","13,125",60.5:1,0.20%,키움증권,222980
덱스터,2015.12.08,"11,000~14,000","14,000","23,558",255.31:1,33.10%,NH투자증권,206560
메가엠디,2015.12.07,"3,600~4,600","3,000","19,340",16.67:1,7.50%,NH투자증권,133750
씨트리,2015.12.07,"8,300~10,200","6,500","9,960",4.7:1,0.60%,신한금융투자,047920
강스템바이오텍,2015.12.07,"8,000~10,000","6,000","16,000",11.35:1,-,키움증권,217730
동부스팩4호,2015.12.04,"2,000~2,000","2,000","10,000",,-,동부증권,230490
파크시스템스,2015.12.03,"9,000~11,000","9,000","9,000",50.29:1,57.30%,케이비투자증권,140860
보광산업,2015.12.03,"6,000~7,000","4,000","18,000",15.47 : 1,-,하나금융투자,225530
예스티,2015.12.02,"14,500~18,500","14,500","15,587",32.90:1,73.30%,NH투자증권,122640
뉴트리바이오텍,2015.12.01,"21,000~24,000","21,000","43,680",93.92:1,28.32%,동부증권,222040
멕아이씨에스,2015.11.30,"7,500~9,000","4,500","4,125",3.77:1,-,키움증권,058110
하나금융스팩7호,2015.11.30,"2,000~2,000","2,000","14,000",,-,하나금융투자,230240
엔에스,2015.11.16,"6,300~7,200","8,000","6,255",179.61:1,21.42%,케이비투자증권,217820
세진중공업(유가),2015.11.12,"3,500~3,900","3,500","20,054",8.89:1,26.50%,"대우증권,신한금융투자",075580
미래테크놀로지,2015.11.12,"14,300~16,100","16,100","21,450",117.30:1,5.70%,현대증권,213090
엠지메드,2015.11.05,"33,000~40,000","40,000","11,550",715.39:1,14.86%,신한금융투자,180400
매직마이크로,2015.11.05,"5,200~6,400","5,500","8,320",75.03:1,1.33%,미래에셋증권,127160
케이디켐,2015.11.04,"14,700~17,800","16,000","17,052",66.20:1,3.00%,대신증권,221980
하이즈항공,2015.11.04,"23,000~26,000","18,000","100,625",47.27:1,0.89%,케이비투자증권,221840
리드,2015.11.04,"4,500~5,100","5,100","3,517",42.89:1,7.00%,대우증권,197210
네오오토,2015.11.02,"11,400~12,800","12,000","17,664",113.08:1,3.54%,신영증권,212560
골든브릿지스팩4호,2015.11.02,"2,000~2,000","2,000","12,500",,-,골든브릿지투자증권,227950
아이진,2015.10.29,"12,000~13,500","13,500","17,823",408.1:1,7.50%,NH투자증권,185490
나무가,2015.10.28,"32,000~37,000","37,000","28,096",108.34:1,3.62%,교보증권,190510
유앤아이,2015.10.28,"25,000~30,000","30,000","37,500",377.40:1,4.00%,키움증권,056090
케어젠,2015.10.27,"80,000~90,000","110,000","129,600",833.46 : 1,62.00%,현대증권,214370
금호에이치티(유가),2015.10.27,"12,700~15,700","10,000","57,098",46.05:1,8.00%,NH투자증권,214330
에이치엠씨스팩3호,2015.10.21,"2,000~2,000","2,000","12,000",,-,HMC투자증권,226340
제주항공(유가),2015.10.21,"23,000~28,000","30,000","126,500",378.67:1,77.99%,NH투자증권,089590
더블유게임즈,2015.10.19,"51,000~61,000","65,000","217,894",413.82:1,14.66%,"한국투자증권,대우증권",192080
연우,2015.10.15,"20,300~25,200","25,200","48,835",317:1,51.00%,"대우증권,HMC투자증권",115960
키움스팩4호,2015.10.15,"2,000~2,000","2,000","20,000",,-,키움증권,226850
현대드림스팩4호,2015.10.07,"2,000~2,000","2,000","10,000",,-,현대증권,226360
에이티젠,2015.10.07,"12,500~14,500","17,000","12,590",695.7:1,40.60%,NH투자증권,182400
엑시콘,2015.10.06,"13,500~16,500","10,000","27,000",28.34:1,-,아이비케이투자증권,092870
이베스트스팩3호,2015.10.01,"2,000~2,000","2,000","8,000",,-,이베스트투자증권,225440
에치디프로,2015.09.23,"7,800~8,900","8,900","11,826",362.84:1,6.21%,대신증권,214870
IBKS스팩3호,2015.09.21,"2,000~2,000","2,000","8,000",,-,아이비케이투자증권,225430
엘아이지넥스원(유가),2015.09.17,"66,000~76,000","76,000","455,400",121.11:1,21.50%,"NH투자증권,한국투자증권",079550
동부스팩3호,2015.09.16,"2,000~2,000","2,000","8,300",,-,동부증권,226440
신영해피투모로우2호스팩,2015.09.15,"2,000~2,000","2,000","10,000",,-,신영증권,225590
타이거일렉,2015.09.10,"6,000~6,900","6,000","9,258",230.02:1,1.36%,한국투자증권,219130
동일제강(유가),2015.09.10,"2,700~3,300","3,000","13,500",309.7:1,3.10%,NH투자증권,002690
엔에이치스팩9호,2015.09.09,"2,000~2,000","2,000","15,500",,-,NH투자증권,225570
제너셈,2015.09.09,"9,000~10,500","10,500","11,700",326.77:1,4.15%,하나금융투자,217190
인포마크,2015.09.09,"12,000~14,000","14,000","10,440",251.2:1,12.00%,삼성증권,175140
아이콘트롤스(유가),2015.09.08,"28,000~32,000","32,000","73,143",272.96:1,29.10%,"대우증권,신영증권",039570
유진스팩3호,2015.08.26,"2,000~2,000","2,000","11,500",,-,유진투자증권,221200
한국스팩3호,2015.08.18,"2,000~2,000","2,000","13,000",,-,한국투자증권,222080
케이티비스팩3호,2015.08.12,"2,000~2,000","2,000","12,500",,-,KTB투자증권,220630
교보스팩5호,2015.08.10,"2,000~2,000","2,000","10,200",,-,교보증권,223040
웹스,2015.08.05,"6,500~7,200","7,200","10,400",438.83:1,33.54%,한국투자증권,196700
현대드림스팩3호,2015.08.05,"2,000~2,000","2,000","13,000",,-,현대증권,221950
에이제이네트웍스(유가),2015.08.04,"30,200~34,300","34,300","69,460",197.15:1,20.06%,"한국투자증권,미래에셋증권,신영증권",095570
교보스팩4호,2015.07.30,"2,000~2,000","2,000","6,000",,-,교보증권,222810
파인텍,2015.07.28,"9,000~10,500","10,500","9,590",382.64:1,45.68%,NH투자증권,131760
미래에셋스팩4호,2015.07.24,"2,000~2,000","2,000","6,100",,-,미래에셋증권,222420
흥국에프엔비,2015.07.22,"14,500~17,500","20,000","26,100",666.88:1,63.87%,NH투자증권,189980
케이비스팩8호,2015.07.21,"2,000~2,000","2,000","20,000",,-,케이비투자증권,222390
칩스앤미디어,2015.07.20,"9,300~10,500","10,500","6,045",123.2:1,-,한국투자증권,094360
아시아경제신문사,2015.07.15,"3,200~3,600","3,600","27,200",280.85:1,15.82%,한국투자증권,127710
아이쓰리시스템,2015.07.14,"28,500~31,500","36,000","14,250",768.00:1,37.60%,키움증권,214430
로지시스,2015.07.13,"2,000~2,500","2,500","6,348",345.68:1,13.28%,삼성증권,067730
엘아이지이에스스팩,2015.07.09,"2,000~2,000","2,000","5,000",,-,엘아이지투자증권,220260
파마리서치프로덕트,2015.07.08,"40,000~47,000","55,000","89,200",728.06:1,57.90%,"NH투자증권,하나대투증권",214450
에스케이스팩2호,2015.07.07,"2,000~2,000","2,000","12,500",,-,SK증권,219550
펩트론,2015.07.06,"9,000~12,000","16,000","7,336",699.59:1,67.40%,NH투자증권,087010
한화에이스스팩2호,2015.07.02,"2,000~2,000","2,000","13,250",,-,한화투자증권,219860
이노션(유가),2015.07.01,"64,000~71,000","68,000","320,064",273.09:1,52.40%,"NH투자증권,대우증권",214320
유안타스팩2호,2015.07.01,"2,000~2,000","2,000","12,000",,-,유안타증권,219960
토니모리(유가),2015.06.24,"26,400~30,200","32,000","77,616",441.86:1,55.20%,대우증권,214420
미래에셋생명보험(유가),2015.06.22,"8,200~10,000","7,500","372,279",40.3:1,2.07%,삼성증권,085620
키움스팩3호,2015.06.22,"2,000~2,000","2,000","13,000",,-,키움증권,218710
민앤지,2015.06.17,"21,200~24,000","28,000","29,930",728.82:1,45.40%,신한금융투자,214180
골든브릿지스팩3호,2015.06.16,"2,000~2,000","2,000","8,800",,-,골든브릿지투자증권,219580
동운아나텍,2015.06.16,"10,000~12,000","10,000","5,000",101.68:1,7.08%,키움증권,094170
엔에이치스팩8호,2015.06.16,"2,000~2,000","2,000","13,000",,-,NH투자증권,218410
유테크,2015.06.15,"8,000~9,000","9,000","8,080",351.10:1,8.59%,대신증권,178780
코아스템,2015.06.11,"10,800~13,200","16,000","27,000",868.62:1,41.74%,한국투자증권,166480
에스엔텍,2015.06.10,"5,600~6,300","6,500","6,160",189.14:1,19.88%,케이비투자증권,160600
경보제약(유가),2015.06.10,"13,000~15,000","15,000","124,315",524.56:1,34.44%,NH투자증권,214390
이베스트스팩2호,2015.06.10,"2,000~2,000","2,000","13,000",,-,이베스트투자증권,217600
세미콘라이트,2015.06.09,"11,300~13,700","11,300","11,758",187.7:1,4.50%,NH투자증권,214310
에스케이디앤디(유가),2015.06.04,"20,200~24,300","26,000","59,590",570.59:1,36.70%,"대신증권,신한금융투자",210980
베셀,2015.06.03,"8,000~9,000","9,000","4,800",437.68:1,-,키움증권,177350
하나머스트스팩5호,2015.06.02,"2,000~2,000","2,000","7,000",,-,하나대투증권,218150
대신밸런스스팩1호,2015.06.01,"2,000~2,000","2,000","10,000",,-,대신증권,217270
하이스팩3호,2015.05.29,"2,000~2,000","2,000","8,500",,-,하이투자증권,217500
싸이맥스,2015.05.28,"14,300~16,300","16,300","22,767",238.72:1,2.93%,대신증권,160980
엔에이치스팩7호,2015.05.27,"2,000~2,000","2,000","8,400",,-,NH투자증권,217810
한화에이씨피씨스팩,2015.05.26,"2,000~2,000","2,000","13,500",,-,한화투자증권,217620
픽셀플러스,2015.05.26,"33,000~37,000","30,000","33,000",131.67:1,2.25%,한국투자증권,087600
제노포커스,2015.05.13,"8,000~9,000","11,000","9,600",842.79:1,41.12%,한국투자증권,187420
미래에셋스팩3호,2015.05.07,"2,000~2,000","2,000","11,400",,-,미래에셋증권,215750
대우스팩3호,2015.04.29,"2,000~2,000","2,000","10,000",,-,대우증권,215580
한화엠지아이스팩,2015.04.28,"2,000~2,000","2,000","10,000",,-,한화투자증권,215380
대우에스비아이스팩1호,2015.04.22,"2,000~2,000","2,000","5,500",,-,대우증권,215480
엔에이치스팩5호,2015.04.22,"2,000~2,000","2,000","13,000",,-,NH투자증권,215790
유진에이씨피씨스팩2호,2015.04.13,"2,000~2,000","2,000","10,000",,-,유진투자증권,215090
하나머스트스팩4호,2015.04.07,"2,000~2,000","2,000","5,500",,-,하나대투증권,215100
한화에이스스팩1호,2015.04.01,"2,000~2,000","2,000","8,200",,-,한화투자증권,214680
유지인트,2015.03.26,"12,400~14,000","15,000","25,544",643.70:1,27.15%,한국투자증권,195990
케이티비스팩2호,2015.03.19,"2,000~2,000","2,000","10,000",,-,KTB투자증권,214150
케이비스팩7호,2015.03.11,"2,000~2,000","2,000","8,000",,-,케이비투자증권,214270
NS쇼핑(구.농수산홈쇼핑)(유가),2015.03.09,"205,000~235,000","235,000","180,027",302.59:1,15.66%,"한국투자증권,미래에셋증권,하나대투증권",138250
세화아이엠씨(유가),2015.03.03,"14,500~16,300","16,300","19,002",216.35:1,10.45%,한국투자증권,145210
포시에스,2015.01.26,"7,500~9,100","9,100","9,750",344.23:1,-,동부증권,189690
골든브릿지스팩2호,2015.01.21,"2,000~2,000","2,000","7,000",,-,골든브릿지투자증권,206660
국일신동,2014.12.15,"1,400~1,700","1,700","4,200",29.25:1,-,아이비케이투자증권,060480
NH스팩2호,2014.12.15,"2,000~2,000","2,000","10,675",,-,NH농협증권,206640
영백씨엠,2014.12.12,"6,500~7,500","5,500","4,377",43.42:1,-,하나대투증권,193250
케이비스팩6호,2014.12.11,"2,000~2,000","2,000","30,000",,-,케이비투자증권,208640
케이비스팩5호,2014.12.10,"2,000~2,000","2,000","10,000",,-,케이비투자증권,208350
교보스팩3호,2014.12.09,"2,000~2,000","2,000","10,000",,-,교보증권,208710
현대드림스팩2호,2014.12.09,"2,000~2,000","2,000","13,000",,-,현대증권,204630
오킨스전자,2014.12.09,"6,000~6,900","7,100","10,995",268.25:1,-,미래에셋증권,080580
넥스트엔터테인먼트월드,2014.12.09,"12,700~16,300","16,300","26,307",214.69:1,9.59%,우리투자증권,160550
하나머스트스팩3호,2014.12.09,"2,000~2,000","2,000","4,500",,-,하나대투증권,208870
아스트,2014.12.09,"7,000~10,000","9,500","19,982",74.59:1,5.74%,케이비투자증권,067390
아이티센,2014.12.09,"7,000~8,500","7,500","7,000",54.13:1,-,아이비케이투자증권,124500
서전기전,2014.12.08,"10,500~12,000","6,500","12,736",11.54:1,-,동부증권,189860
하이셈,2014.12.08,"1,500~1,900","1,500","6,534",50.03:1,-,대우증권,200470
휴메딕스,2014.12.08,"22,700~25,500","28,000","22,700",688.80:1,35.18%,한국투자증권,200670
제일모직(구.삼성에버랜드)(유가),2014.12.03,"45,000~53,000","53,000","1,293,747",465:1,35.14%,"대우증권,우리투자증권,씨티그룹글로벌마켓증권,제이피모간증권회사",028260
하나머스트스팩2호,2014.12.03,"2,000~2,000","2,000","10,000",,-,하나대투증권,208370
하이로닉,2014.12.02,"43,000~47,400","51,000","23,650",500.56:1,22.70%,신한금융투자,149980
디티앤씨(구.디지털이엠씨),2014.12.02,"14,500~18,500","18,500","30,986",559.02:1,74.30%,키움증권,187220
엘아이지스팩2호,2014.12.02,"2,000~2,000","2,000","5,000",,-,엘아이지투자증권,208140
녹십자엠에스,2014.12.02,"5,000~5,800","6,000","10,000",474.11:1,-,한국투자증권,142280
랩지노믹스,2014.12.01,"12,000~13,200","13,200","3,000",423.83:1,-,한국투자증권,084650
에이디테크놀로지,2014.12.01,"16,000~18,000","15,000","16,000",33.19:1,7.53%,한국투자증권,200710
우리에스엘스팩,2014.12.01,"2,000~2,000","2,000","4,000",,-,우리투자증권,207720
동부스팩2호,2014.11.27,"2,000~2,000","2,000","10,000",,-,동부증권,207760
알테오젠,2014.11.27,"23,000~26,000","26,000","20,700",409.2:1,14.40%,한국투자증권,196170
비씨월드제약,2014.11.26,"12,000~15,700","15,700","19,872",356.75:1,26.60%,"대우증권,대신증권",200780
한국스팩2호,2014.11.26,"2,000~2,000","2,000","10,000",,-,한국투자증권,206400
에스케이씨코오롱피아이,2014.11.19,"12,500~15,000","8,000","102,400",23.01:1,-,한국투자증권,178920
에프엔씨엔터테인먼트,2014.11.18,"24,000~28,000","28,000","33,600",185.35:1,9.91%,유진투자증권,173940
대창스틸,2014.11.18,"2,000~2,500","2,500","4,400",219.91:1,-,하나대투증권,140520
하이스팩2호,2014.11.13,"2,000~2,000","2,000","10,000",24.64:1,-,하이투자증권,205470
씨에스윈드(유가),2014.11.13,"31,000~43,500","43,500","182,900",109.3:1,1.79%,"미래에셋증권,삼성증권",112610
케이티비스팩1호,2014.11.10,"2,000~2,000","2,000","10,000",,-,KTB투자증권,204650
텔콘,2014.11.10,"12,500~14,500","14,500","17,500",162.88:1,5.53%,대신증권,200230
IBKS스팩2호,2014.11.06,"2,000~2,000","2,000","8,000",,-,아이비케이투자증권,204840
디에이테크놀로지,2014.11.05,"6,600~8,500","6,600","9,464",55.28:1,1.81%,대신증권,196490
파티게임즈,2014.11.04,"10,500~13,000","13,000","10,080",224.12:1,24.62%,우리투자증권,194510
유안타스팩1호,2014.11.03,"2,000~2,000","2,000","11,000",,-,유안타증권,204620
삼성SDS(유가),2014.10.29,"150,000~190,000","190,000","914,940",651.5:1,48.11%,"한국투자증권,골드만삭스증권,제이피모간증권",018260
케이비스팩4호,2014.10.27,"2,000~2,000","2,000","20,000",,-,케이비투자증권,205500
교보위드스팩,2014.10.23,"2,000~2,000","2,000","7,800",,-,교보증권,205100
현대에이블스팩1호,2014.10.22,"2,000~2,000","2,000","10,000",,-,현대증권,204760
테고사이언스,2014.10.22,"10,500~12,500","13,500","5,593",591.09:1,30.50%,우리투자증권,191420
슈피겐코리아,2014.10.20,"22,500~27,500","27,500","41,625",255.6:1,30.86%,삼성증권,192440
테라셈,2014.10.14,"3,600~4,100","3,000","6,480",18.41:1,-,한국투자증권,182690
영우디에스피,2014.10.13,"8,000~9,500","5,000","10,400",17.07:1,-,키움증권,143540
대우스팩2호,2014.10.06,"2,000~2,000","2,000","10,500",,-,대우증권,204440
신한스팩2호,2014.09.24,"2,000~2,000","2,000","10,000",,-,신한금융투자,203650
데브시스터즈,2014.09.18,"43,000~50,000","53,000","116,100",651.66:1,29.98%,우리투자증권,194480
메디아나,2014.09.17,"5,500~6,500","6,200","7,920",86:1,-,케이비투자증권,041920
KB스팩3호,2014.09.15,"2,000~2,000","2,000","20,000",,-,케이비투자증권,203690
감마누,2014.07.28,"10,000~11,500","11,000","3,600",608.66:1,-,한국투자증권,192410
우리스팩3호,2014.07.28,"2,000~2,000","2,000","13,000",,-,우리투자증권,198440
쿠쿠전자(유가),2014.07.23,"80,000~104,000","104,000","196,067",598.86:1,65.18%,우리투자증권,192400
신화콘텍,2014.07.21,"8,100~9,100","9,100","12,960",441.99:1,10.37%,현대증권,187270
덕신하우징,2014.07.15,"9,600~11,000","13,000","19,200",650.72:1,59.86%,현대증권,090410
파버나인,2014.07.15,"12,100~13,600","12,500","13,310",264.04:1,-,"한국투자증권,케이비투자증권",177830
창해에탄올,2014.07.14,"6,000~6,900","8,300","11,405",578.20:1,59.50%,우리투자증권,004650
미래에셋스팩2호,2014.07.10,"2,000~2,000","2,000","13,000",,-,미래에셋증권,200130
윈하이텍,2014.07.10,"6,600~7,500","8,300","17,424",444.1:1,55.60%,우리투자증권,192390
아진엑스텍,2014.07.08,"5,000~6,000","7,000","5,000",478.65:1,-,신한금융투자,059120
화인베스틸(유가),2014.06.30,"4,500~5,100","4,700","28,951",85.45:1,-,현대증권,133820
트루윈,2014.06.24,"8,000~9,400","10,500","9,600",,-,하나대투증권,105550
하나머스트스팩,2014.05.22,"2,000~2,000","2,000","5,000",,-,하나대투증권,194610
캐스텍코리아,2014.05.08,"5,000~5,800","6,500","12,500",,-,한국투자증권,071850
