종목코드,업종명,시장구분
024890,화학,KOSPI
002880,운수장비,KOSPI
000300,운수장비,KOSPI
012800,철강금속,KOSPI
012805,철강금속,KOSPI
015230,운수장비,KOSPI
026870,전기가스업,KOSPI
001070,섬유의복,KOSPI
006650,화학,KOSPI
007480,철강금속,KOSPI
001440,전기전자,KOSPI
084010,철강금속,KOSPI
001790,음식료품,KOSPI
001795,음식료품,KOSPI
001130,음식료품,KOSPI
000120,운수창고업,KOSPI
004540,종이목재,KOSPI
004545,종이목재,KOSPI
003490,운수창고업,KOSPI
003495,운수창고업,KOSPI
005880,운수창고업,KOSPI
003830,화학,KOSPI
016090,섬유의복,KOSPI
069460,철강금속,KOSPI
012510,서비스업,KOSPI
004830,화학,KOSPI
004835,화학,KOSPI
024900,운수장비,KOSPI
001620,운수장비,KOSPI
001230,철강금속,KOSPI
023450,화학,KOSPI
004140,운수창고업,KOSPI
007590,화학,KOSPI
007595,화학,KOSPI
004147,운수창고업,KOSPI
004149,운수창고업,KOSPI
005960,건설업,KOSPI
005965,건설업,KOSPI
012030,화학,KOSPI
016380,철강금속,KOSPI
016385,철강금속,KOSPI
016610,증권,KOSPI
000990,화학,KOSPI
000995,화학,KOSPI
000997,화학,KOSPI
005830,보험,KOSPI
083350,서비스업,KOSPI
083360,서비스업,KOSPI
083370,서비스업,KOSPI
083380,서비스업,KOSPI
083390,서비스업,KOSPI
084240,서비스업,KOSPI
078420,서비스업,KOSPI
088010,서비스업,KOSPI
080030,서비스업,KOSPI
093730,서비스업,KOSPI
080960,서비스업,KOSPI
080970,서비스업,KOSPI
080980,서비스업,KOSPI
080410,서비스업,KOSPI
082110,서비스업,KOSPI
083120,서비스업,KOSPI
002210,의약품,KOSPI
102260,서비스업,KOSPI
005190,화학,KOSPI
008040,음식료품,KOSPI
058730,기계,KOSPI
000640,의약품,KOSPI
007340,화학,KOSPI
001780,철강금속,KOSPI
005900,건설업,KOSPI
084670,운수창고업,KOSPI
013570,운수장비,KOSPI
001520,비금속광물,KOSPI
001527,비금속광물,KOSPI
001529,비금속광물,KOSPI
001525,비금속광물,KOSPI
002900,기계,KOSPI
002710,철강금속,KOSPI
010060,화학,KOSPI
003470,증권,KOSPI
003475,증권,KOSPI
008970,철강금속,KOSPI
008975,철강금속,KOSPI
003580,광업,KOSPI
049770,음식료품,KOSPI
018500,운수장비,KOSPI
006040,"농업, 임업 및 어업",KOSPI
030720,"농업, 임업 및 어업",KOSPI
014820,전기전자,KOSPI
014825,전기전자,KOSPI
001530,섬유의복,KOSPI
004840,화학,KOSPI
004890,철강금속,KOSPI
019300,종이목재,KOSPI
009580,종이목재,KOSPI
000020,의약품,KOSPI
000150,음식료품,KOSPI
000157,음식료품,KOSPI
011160,건설업,KOSPI
000155,음식료품,KOSPI
042670,기계,KOSPI
034020,기계,KOSPI
024090,철강금속,KOSPI
003160,의료정밀,KOSPI
092200,운수장비,KOSPI
026890,전기전자,KOSPI
000320,서비스업,KOSPI
000327,서비스업,KOSPI
000325,서비스업,KOSPI
006490,유통업,KOSPI
005690,섬유의복,KOSPI
000420,전기전자,KOSPI
000425,전기전자,KOSPI
032350,서비스업,KOSPI
004010,유통업,KOSPI
002270,음식료품,KOSPI
000400,보험,KOSPI
023530,유통업,KOSPI
004990,음식료품,KOSPI
005300,음식료품,KOSPI
005305,음식료품,KOSPI
079430,기타제조업,KOSPI
027740,음식료품,KOSPI
001190,섬유의복,KOSPI
001080,철강금속,KOSPI
076850,서비스업,KOSPI
088980,기타금융,KOSPI
094800,기타금융,KOSPI
094520,기타금융,KOSPI
012420,기타금융,KOSPI
008560,증권,KOSPI
000060,보험,KOSPI
002540,화학,KOSPI
017180,의약품,KOSPI
012690,종이목재,KOSPI
005360,유통업,KOSPI
009680,운수장비,KOSPI
009200,종이목재,KOSPI
008420,철강금속,KOSPI
025560,의료정밀,KOSPI
037620,증권,KOSPI
008600,유통업,KOSPI
002840,화학,KOSPI
003650,화학,KOSPI
092630,서비스업,KOSPI
003610,섬유의복,KOSPI
011800,철강금속,KOSPI
001340,화학,KOSPI
014580,비금속광물,KOSPI
035150,화학,KOSPI
002410,건설업,KOSPI
084870,섬유의복,KOSPI
096300,기타금융,KOSPI
007210,비금속광물,KOSPI
002530,건설업,KOSPI
002535,건설업,KOSPI
002760,화학,KOSPI
003850,의약품,KOSPI
004740,기타제조업,KOSPI
000890,음식료품,KOSPI
000895,음식료품,KOSPI
003000,의약품,KOSPI
001270,증권,KOSPI
001275,증권,KOSPI
026940,철강금속,KOSPI
015350,전기가스업,KOSPI
011390,비금속광물,KOSPI
005280,은행,KOSPI
005030,운수장비,KOSPI
100220,서비스업,KOSPI
005180,음식료품,KOSPI
003960,음식료품,KOSPI
003965,음식료품,KOSPI
007160,"농업, 임업 및 어업",KOSPI
079660,음식료품,KOSPI
005090,비금속광물,KOSPI
005610,음식료품,KOSPI
001470,건설업,KOSPI
006400,전기전자,KOSPI
006405,전기전자,KOSPI
006660,운수장비,KOSPI
000830,유통업,KOSPI
000835,유통업,KOSPI
028050,서비스업,KOSPI
009150,전기전자,KOSPI
009155,전기전자,KOSPI
005930,전기전자,KOSPI
005935,전기전자,KOSPI
004000,화학,KOSPI
001360,의약품,KOSPI
010140,운수장비,KOSPI
010145,운수장비,KOSPI
016360,증권,KOSPI
068290,서비스업,KOSPI
029780,기타금융,KOSPI
012450,의료정밀,KOSPI
000810,보험,KOSPI
000815,보험,KOSPI
006110,철강금속,KOSPI
000070,음식료품,KOSPI
000075,음식료품,KOSPI
003230,음식료품,KOSPI
008080,의료정밀,KOSPI
003940,음식료품,KOSPI
003945,음식료품,KOSPI
008720,기계,KOSPI
002170,기타제조업,KOSPI
002810,유통업,KOSPI
005680,전기전자,KOSPI
004920,유통업,KOSPI
003720,화학,KOSPI
004380,기계,KOSPI
002450,기타제조업,KOSPI
000520,의약품,KOSPI
009770,종이목재,KOSPI
005500,의약품,KOSPI
004690,전기가스업,KOSPI
001880,건설업,KOSPI
011150,유통업,KOSPI
011155,유통업,KOSPI
010960,건설업,KOSPI
004450,기계,KOSPI
009470,전기전자,KOSPI
011230,전기전자,KOSPI
001820,전기전자,KOSPI
000390,화학,KOSPI
000360,건설업,KOSPI
000365,건설업,KOSPI
013700,건설업,KOSPI
041650,운수장비,KOSPI
075180,운수장비,KOSPI
005070,화학,KOSPI
007540,음식료품,KOSPI
001600,건설업,KOSPI
017390,전기가스업,KOSPI
004410,음식료품,KOSPI
004415,음식료품,KOSPI
016560,기타금융,KOSPI
021050,철강금속,KOSPI
008490,화학,KOSPI
007610,전기전자,KOSPI
005350,운수창고업,KOSPI
014300,음식료품,KOSPI
002820,종이목재,KOSPI
014910,전기전자,KOSPI
014915,전기전자,KOSPI
003080,화학,KOSPI
004980,비금속광물,KOSPI
004987,비금속광물,KOSPI
004989,비금속광물,KOSPI
004985,비금속광물,KOSPI
011300,섬유의복,KOSPI
012090,건설업,KOSPI
012095,건설업,KOSPI
005980,건설업,KOSPI
051310,기계,KOSPI
000180,종이목재,KOSPI
002420,서비스업,KOSPI
004360,운수창고업,KOSPI
004367,운수창고업,KOSPI
004365,운수창고업,KOSPI
004490,전기전자,KOSPI
004230,유통업,KOSPI
001430,철강금속,KOSPI
003030,철강금속,KOSPI
058650,서비스업,KOSPI
013000,유통업,KOSPI
013005,유통업,KOSPI
091090,기계,KOSPI
021820,운수장비,KOSPI
067830,유통업,KOSPI
033530,운수장비,KOSPI
027970,종이목재,KOSPI
013240,전기전자,KOSPI
007800,기타금융,KOSPI
004430,화학,KOSPI
017550,기계,KOSPI
017555,기계,KOSPI
002200,종이목재,KOSPI
093230,전기전자,KOSPI
016590,종이목재,KOSPI
029530,전기전자,KOSPI
004970,"농업, 임업 및 어업",KOSPI
104110,기계,KOSPI
104120,기계,KOSPI
001970,건설업,KOSPI
001975,건설업,KOSPI
005390,유통업,KOSPI
011930,기계,KOSPI
004170,유통업,KOSPI
035510,서비스업,KOSPI
034300,건설업,KOSPI
005800,섬유의복,KOSPI
001720,증권,KOSPI
001725,증권,KOSPI
025620,기타제조업,KOSPI
009270,섬유의복,KOSPI
009275,섬유의복,KOSPI
014350,건설업,KOSPI
002700,전기전자,KOSPI
019170,의약품,KOSPI
019175,의약품,KOSPI
002870,종이목재,KOSPI
005450,건설업,KOSPI
055550,기타금융,KOSPI
001770,철강금속,KOSPI
004080,유통업,KOSPI
001250,유통업,KOSPI
003410,비금속광물,KOSPI
003417,비금속광물,KOSPI
003419,비금속광물,KOSPI
00341A,비금속광물,KOSPI
00341D,비금속광물,KOSPI
003415,비금속광물,KOSPI
003620,운수장비,KOSPI
004770,전기전자,KOSPI
008700,전기전자,KOSPI
008705,전기전자,KOSPI
090430,화학,KOSPI
090435,화학,KOSPI
090370,섬유의복,KOSPI
002030,비금속광물,KOSPI
002310,종이목재,KOSPI
009385,종이목재,KOSPI
009380,종이목재,KOSPI
083570,서비스업,KOSPI
083580,서비스업,KOSPI
083590,서비스업,KOSPI
083600,서비스업,KOSPI
083610,서비스업,KOSPI
083620,서비스업,KOSPI
080180,서비스업,KOSPI
081190,서비스업,KOSPI
081200,서비스업,KOSPI
081210,서비스업,KOSPI
082240,서비스업,KOSPI
082250,서비스업,KOSPI
082260,서비스업,KOSPI
081930,서비스업,KOSPI
081940,서비스업,KOSPI
020560,운수창고업,KOSPI
010780,비금속광물,KOSPI
004870,비금속광물,KOSPI
101140,유통업,KOSPI
003190,유통업,KOSPI
006840,화학,KOSPI
011090,기타제조업,KOSPI
005850,운수장비,KOSPI
012750,서비스업,KOSPI
004060,유통업,KOSPI
023960,서비스업,KOSPI
036570,서비스업,KOSPI
085310,기계,KOSPI
900030,서비스업,KOSPI
014440,화학,KOSPI
009970,유통업,KOSPI
003520,의약품,KOSPI
010600,유통업,KOSPI
000670,철강금속,KOSPI
006740,종이목재,KOSPI
012280,운수장비,KOSPI
015360,전기가스업,KOSPI
007310,음식료품,KOSPI
016160,전기전자,KOSPI
016167,전기전자,KOSPI
002630,의약품,KOSPI
001800,음식료품,KOSPI
006090,"농업, 임업 및 어업",KOSPI
045710,서비스업,KOSPI
012400,전기전자,KOSPI
012405,전기전자,KOSPI
004940,은행,KOSPI
053000,기타금융,KOSPI
004720,의약품,KOSPI
005940,증권,KOSPI
005945,증권,KOSPI
021960,기타금융,KOSPI
006980,음식료품,KOSPI
017370,기계,KOSPI
049800,기계,KOSPI
095720,서비스업,KOSPI
008000,섬유의복,KOSPI
021240,서비스업,KOSPI
016880,서비스업,KOSPI
005820,섬유의복,KOSPI
015540,전기전자,KOSPI
015545,전기전자,KOSPI
005760,유통업,KOSPI
033270,의약품,KOSPI
014830,화학,KOSPI
007120,전기전자,KOSPI
000910,비금속광물,KOSPI
003640,철강금속,KOSPI
011330,기타제조업,KOSPI
077500,유통업,KOSPI
007050,기계,KOSPI
002920,운수장비,KOSPI
024870,기계,KOSPI
011690,전기전자,KOSPI
072130,서비스업,KOSPI
000220,의약품,KOSPI
000225,의약품,KOSPI
000227,의약품,KOSPI
001200,증권,KOSPI
000100,의약품,KOSPI
000105,의약품,KOSPI
003460,증권,KOSPI
003465,증권,KOSPI
008730,화학,KOSPI
008250,종이목재,KOSPI
025820,철강금속,KOSPI
007660,전기전자,KOSPI
005950,화학,KOSPI
015020,서비스업,KOSPI
074610,기계,KOSPI
007190,종이목재,KOSPI
007195,종이목재,KOSPI
000760,유통업,KOSPI
014990,섬유의복,KOSPI
023800,운수장비,KOSPI
034590,전기가스업,KOSPI
020120,유통업,KOSPI
023810,운수장비,KOSPI
008540,섬유의복,KOSPI
000230,의약품,KOSPI
013360,건설업,KOSPI
013367,건설업,KOSPI
013365,건설업,KOSPI
003120,의약품,KOSPI
003200,섬유의복,KOSPI
007110,비금속광물,KOSPI
007570,의약품,KOSPI
007575,의약품,KOSPI
008500,섬유의복,KOSPI
081000,화학,KOSPI
020760,전기전자,KOSPI
103590,전기전자,KOSPI
015860,서비스업,KOSPI
033240,전기전자,KOSPI
009720,비금속광물,KOSPI
000950,섬유의복,KOSPI
006350,은행,KOSPI
069470,서비스업,KOSPI
030000,서비스업,KOSPI
001300,화학,KOSPI
002620,의약품,KOSPI
001560,비금속광물,KOSPI
024100,기타금융,KOSPI
000610,보험,KOSPI
006220,은행,KOSPI
004910,화학,KOSPI
004700,기타제조업,KOSPI
001550,화학,KOSPI
000480,비금속광물,KOSPI
000590,기계,KOSPI
004820,유통업,KOSPI
018470,철강금속,KOSPI
002600,음식료품,KOSPI
001630,의약품,KOSPI
063160,의약품,KOSPI
044380,전기전자,KOSPI
015110,건설업,KOSPI
001060,의약품,KOSPI
001067,의약품,KOSPI
001065,의약품,KOSPI
096760,서비스업,KOSPI
094950,기타금융,KOSPI
007630,전기전자,KOSPI
010580,운수장비,KOSPI
088790,섬유의복,KOSPI
003780,화학,KOSPI
010640,화학,KOSPI
100250,서비스업,KOSPI
051630,화학,KOSPI
002780,건설업,KOSPI
002787,건설업,KOSPI
002785,건설업,KOSPI
007200,기타금융,KOSPI
009310,기계,KOSPI
000650,운수창고업,KOSPI
012410,전기전자,KOSPI
012600,기계,KOSPI
033250,운수장비,KOSPI
006380,화학,KOSPI
004620,섬유의복,KOSPI
011050,전기전자,KOSPI
011400,운수장비,KOSPI
029460,의료정밀,KOSPI
007460,기계,KOSPI
101790,서비스업,KOSPI
009690,전기전자,KOSPI
064420,화학,KOSPI
090970,서비스업,KOSPI
090980,서비스업,KOSPI
090990,서비스업,KOSPI
091000,서비스업,KOSPI
093400,서비스업,KOSPI
093410,서비스업,KOSPI
099210,서비스업,KOSPI
007815,전기전자,KOSPI
007810,전기전자,KOSPI
003690,보험,KOSPI
044820,화학,KOSPI
005420,화학,KOSPI
071950,유통업,KOSPI
071955,유통업,KOSPI
002020,화학,KOSPI
002027,화학,KOSPI
003070,건설업,KOSPI
003075,건설업,KOSPI
002025,화학,KOSPI
086720,서비스업,KOSPI
090540,서비스업,KOSPI
031820,서비스업,KOSPI
015260,전기전자,KOSPI
005740,음식료품,KOSPI
005745,음식료품,KOSPI
015890,화학,KOSPI
006890,화학,KOSPI
003240,화학,KOSPI
011280,종이목재,KOSPI
004100,운수장비,KOSPI
004105,운수장비,KOSPI
009410,건설업,KOSPI
009415,건설업,KOSPI
001420,운수장비,KOSPI
007490,섬유의복,KOSPI
002790,서비스업,KOSPI
002797,서비스업,KOSPI
007980,섬유의복,KOSPI
002795,서비스업,KOSPI
016570,의약품,KOSPI
016575,의약품,KOSPI
078000,서비스업,KOSPI
012580,섬유의복,KOSPI
102280,섬유의복,KOSPI
019180,전기전자,KOSPI
014590,섬유의복,KOSPI
008900,서비스업,KOSPI
