일자,코스닥,화학,종이·목재,제약,일반전기전자,의료·정밀기기,음식료·담배,운송장비·부품,섬유·의류,비금속,기계·장비,금속,IT H/W,IT S/W & SVC,통신방송서비스,유통,운송,오락·문화,금융,건설,제조업,IT부품,반도체,정보기기,통신장비,컴퓨터서비스,소프트웨어,디지털컨텐츠,인터넷,방송서비스,통신서비스,기타제조,출판·매체복제,기타서비스
2023/07/05,891.18,3243.14,9783.61,7656.24,2327.84,2317.2,8004.13,6485.88,92.88,51603.03,644.59,2952.68,658.6,1704.28,840.8,432.8,3286.23,735.0,2292.24,78.15,3052.76,1291.82,1773.47,11.24,124.21,229.95,258.34,963.71,10428.43,2400.52,660.15,1417.85,3037.44,2263.44
2023/07/04,890.0,3238.67,9733.81,7659.11,2308.39,2304.83,8138.99,6481.43,93.7,52573.51,650.99,2918.17,665.25,1705.73,847.82,433.82,3311.18,738.65,2188.64,78.57,3049.17,1288.05,1802.17,11.26,125.36,232.27,256.06,973.2,10598.07,2406.96,673.58,1402.44,3098.18,2274.88
2023/07/03,889.29,3253.67,9828.31,7710.44,2250.76,2298.2,8241.49,6395.09,94.55,52398.14,649.79,2869.36,662.72,1716.06,864.29,436.44,3367.28,726.82,2232.76,78.69,3032.88,1293.51,1785.55,11.3,126.36,233.78,254.34,995.76,10546.85,2456.3,685.17,1431.74,3121.16,2295.16
2023/06/30,868.24,3201.24,9657.8,7789.03,2163.5,2295.45,8044.04,6299.32,94.15,52367.38,633.84,2801.23,649.49,1696.78,856.41,435.76,3340.45,725.31,1934.31,78.03,2984.96,1272.55,1742.99,11.23,125.3,231.85,251.61,982.59,10510.04,2438.59,676.18,1416.19,3090.05,2249.62
2023/06/29,861.79,3181.73,9604.21,7672.59,2116.59,2292.89,7946.85,6181.77,93.47,52440.23,628.81,2758.08,650.11,1725.44,845.05,434.96,3310.62,713.76,1855.82,77.89,2948.28,1264.76,1751.42,11.17,124.94,232.79,256.88,995.52,10720.94,2405.34,667.75,1401.34,3140.03,2253.2
2023/06/28,866.97,3209.24,9676.03,7757.16,2128.64,2315.01,8125.36,6310.58,94.48,52374.75,633.62,2806.31,645.53,1757.63,864.54,435.59,3352.72,719.37,1832.67,77.92,2978.18,1267.1,1727.76,11.26,125.79,238.68,259.66,1024.01,10808.86,2467.65,679.18,1442.1,3208.24,2280.47
2023/06/27,874.14,3224.06,9726.15,7773.65,2214.14,2287.57,8011.02,6313.45,94.39,52135.6,628.48,2840.81,645.58,1769.53,862.27,436.85,3366.84,723.96,1906.73,78.47,3002.39,1277.5,1718.35,11.4,127.03,240.38,260.28,1036.3,10871.43,2480.57,666.11,1438.68,3202.93,2306.8
2023/06/26,879.5,3233.01,9820.7,7812.26,2233.86,2303.77,8172.28,6318.29,94.55,52373.04,628.54,2833.98,646.73,1763.96,858.22,452.72,3357.58,737.01,1950.65,78.79,3016.21,1280.28,1724.08,11.45,125.73,243.92,261.58,1024.83,10533.65,2492.2,649.44,1409.19,3174.59,2303.72
2023/06/23,874.84,3262.59,9734.49,7685.07,2244.45,2305.02,8168.4,6232.35,96.02,51623.16,628.73,2840.64,638.59,1738.84,868.06,446.02,3378.14,746.4,1944.27,78.65,3010.96,1280.3,1687.3,11.41,126.48,243.89,253.82,1029.56,10186.54,2531.69,650.53,1402.41,3176.91,2291.78
2023/06/22,876.38,3276.29,9837.11,7696.12,2240.24,2302.42,8245.97,6274.42,96.53,50835.48,632.39,2892.52,635.11,1747.05,879.53,445.03,3442.66,761.08,1955.44,79.46,3019.19,1287.63,1665.45,11.45,127.46,245.08,254.51,1039.7,9990.1,2573.45,654.31,1418.64,3194.73,2280.1
