종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
코리아에스이,2008.07.03~07.04,"5,500","6,000~7,000",2.65:1,동양증권,
슈프리마,2008.07.02~07.03,"27,100","27,100~34,000",0.73:1,한국투자증권,
명문제약(유가),2008.07.01~07.02,"6,000","6,300~7,100",1.82:1,우리투자증권,
이스트소프트,2008.06.19~06.20,"9,800","9,000~12,000",298.48:1,한화증권,
서울옥션,2008.06.19~06.20,"11,000","9,000~12,000",3.09:1,우리투자증권,
비유와상징(유가),2008.06.19~06.20,"33,000","36,000~40,000",0.67:1,현대증권,
씨디아이홀딩스,2008.06.16~06.17,"33,000","30,000~33,000",290.24:1,삼성증권,
윌덱스,2008.06.11~06.12,"10,000","9,100~10,300",4.28:1,한국투자증권,
쎄트렉아이,2008.06.04~06.05,"43,000","33,500~43,000",636.52:1,한국투자증권,
브리지텍,2008.05.26~05.27,"3,100","2,700~3,100",366.98:1,굿모닝신한,
고영테크놀러지,2008.05.22~05.23,"11,500","10,000~11,500",291.55:1,한국투자증권,
제이씨엔터테인먼트,2008.05.21~05.22,"10,500","8,500~10,500",175:1,삼성증권,
세미텍,2008.05.13~05.14,"5,000","6,000~7,000",988.71:1,동양증권,
테스,2008.05.07~05.08,"34,000","33,000~38,000",323:1,하나IB증권,
우진비앤지,2008.05.07~05.08,"4,000","3,600~4,100",659.15:1,한국투자증권,
엘디티,2008.04.23~04.24,"3,800","3,700~4,300",569.84:1,한국투자증권,
예스이십사,2008.04.23~04.24,"6,300","6,500~7,500",302.7:1,동양증권,
실리콘화일,2008.04.16~04.17,"6,000","9,000~12,000",261.81:1,현대증권,
메타바이오메드,2008.04.03~04.04,"9,000","10,500~13,000",980:1,한국투자증권,
효성오앤비,2008.03.26~03.27,"7,500","8,500~11,000",269.18:1,SK증권,
네패스신소재,2008.03.25~03.26,"4,400","6,200~6,800",167:1,우리투자증권,
제너시스템즈,2008.03.17~03.18,"3,500","5,500~6,500",176.8:1,한국투자증권,
텔레필드,2008.01.22~01.23,"5,000","11,000~13,000",7.82:1,굿모닝신한증권,
넥실리온,2008.01.21~01.22,"3,500","6,200~7,200",20.3:1,한국투자증권,
네오엠텔,2008.01.16~01.17,"8,500","13,000~14,200",345:1,삼성증권,
엔케이(유가),2008.01.16~01.17,"10,000","11,900~15,500",4.08:1,한국투자증권,
코웰이홀딩스,2008.01.16~01.18,"2,000","3,000~3,500",6.62:1,교보증권,
마이스코,2008.01.15~01.16,"18,000","25,000~30,000",0.75:1,교보증권,
