종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
유니드,2004.11.23~11.24,14,"14,200~17,400",95.5:1,삼성증권,
화인에이티씨,2004.11.22~11.23,2,"2,800~3,200",,LG투자증권,
토비스(유가),2004.11.09~11.10,2,"2,600~3,300",7.17:1,브릿지증권,
한서제약,2004.11.09~11.10,1,0,,,
케이이엔지,2004.10.20~10.21,2,"3,000~4,000",,동양증권,
모코코,2004.10.20~10.21,2,"3,000~3,800",,동원증권,
신지소프트,2004.10.19~10.20,9,"9,000~12,000",,미래에셋증권,
디지탈디바이스,2004.10.19~10.20,3,"3,500~4,500",,우리증권,
태양기전,2004.10.18~10.19,14,"16,000~21,000",241.25:1,교보증권,
국일제지,2004.10.12~10.13,15,0,251:1,현대증권,
디엠에스,2004.09.15~09.16,28,0,192:1,한화증권,
코아로직,2004.08.03~08.04,23,"28,000~32,000",0.84 : 1,미래에셋증권,
신성델타테크,2004.07.27~07.28,1,"1,700~2,200",,하나증권,
유니퀘스트(유가),2004.07.22~07.23,4,"5,500~6,500",,LG증권,
한국경제티브이,2004.07.21~07.22,10,"10,600~13,000",152.33 : 1,삼성증권,
동아에스텍(유가),2004.07.21~07.22,1,"1,800~2,100",23.34 : 1,동원증권,
LG필립스엘시디(유가),2004.07.19~07.20,34,"37,100~52,600",7.23 : 1,동원증권,
다날,2004.07.13~07.14,8,"10,000~12,000",68.25 : 1,LG증권,
텔코웨어(유가),2004.07.08~07.09,12,"12,000~15,500",45.72 : 1,삼성증권,
아이레보,2003.12.15~12.16,6,"5,000~6,500",,교보증권,
레인콤,2003.12.09~12.10,47,"37,000~47,000",,현대증권,
비트윈,2003.12.09~12.10,4,"3,500~4,500",,미래에셋,
블루포인트파트너스,-~-,-,"8,500~10,000",,한국투자증권,
