iter	Passed	Remaining
411	3976	5675
412	3985	5664
413	3997	5658
414	4007	5648
415	4014	5636
416	4021	5622
417	4029	5609
418	4036	5597
419	4045	5586
420	4056	5579
421	4066	5569
422	4075	5559
423	4086	5552
424	4097	5544
425	4108	5536
426	4118	5526
427	4128	5517
428	4138	5508
429	4148	5498
430	4156	5487
431	4164	5475
432	4172	5463
433	4180	5452
434	4189	5442
435	4200	5434
436	4214	5429
437	4225	5421
438	4235	5412
439	4243	5401
440	4251	5389
441	4260	5378
442	4268	5367
443	4276	5355
444	4284	5343
445	4291	5330
446	4299	5318
447	4307	5306
448	4314	5295
449	4322	5283
450	4330	5271
451	4338	5259
452	4346	5248
453	4355	5238
454	4366	5230
455	4375	5220
456	4383	5208
457	4392	5197
458	4400	5187
459	4413	5180
460	4422	5170
461	4431	5160
462	4439	5149
463	4452	5143
464	4463	5135
465	4474	5127
466	4486	5120
467	4497	5112
468	4509	5105
469	4520	5098
470	4531	5089
471	4541	5080
472	4553	5073
473	4564	5065
474	4574	5055
475	4584	5047
476	4595	5038
477	4608	5032
478	4620	5025
479	4630	5016
480	4639	5006
481	4648	4996
482	4657	4985
483	4667	4976
484	4676	4966
485	4689	4959
486	4701	4952
487	4712	4944
488	4723	4936
489	4733	4926
490	4742	4915
491	4752	4906
492	4762	4898
493	4774	4890
494	4784	4881
495	4792	4869
496	4803	4861
497	4812	4851
498	4819	4838
499	4826	4826
500	4835	4816
501	4848	4809
502	4860	4802
503	4871	4794
504	4880	4784
505	4891	4775
506	4902	4767
507	4914	4760
508	4925	4751
509	4933	4740
510	4942	4729
511	4950	4718
512	4957	4706
513	4964	4694
514	4972	4682
515	4979	4670
516	4986	4658
517	4995	4648
518	5005	4639
519	5013	4627
520	5023	4618
521	5029	4606
522	5036	4593
523	5044	4582
524	5051	4570
525	5058	4558
526	5066	4547
527	5075	4537
528	5083	4526
529	5091	4514
530	5098	4503
531	5106	4492
532	5115	4481
533	5124	4471
534	5133	4462
535	5144	4453
536	5154	4444
537	5163	4434
538	5175	4426
539	5186	4418
540	5197	4409
541	5209	4401
542	5220	4393
543	5229	4383
544	5238	4373
545	5245	4361
546	5255	4352
547	5265	4343
548	5275	4333
549	5284	4323
550	5293	4313
551	5306	4306
552	5316	4297
553	5326	4287
554	5337	4279
555	5346	4269
556	5353	4258
557	5362	4247
558	5373	4239
559	5386	4232
560	5398	4224
561	5411	4217
562	5421	4208
563	5430	4198
564	5439	4187
565	5449	4178
566	5460	4170
567	5471	4161
568	5480	4151
569	5487	4139
570	5495	4128
571	5502	4117
572	5513	4108
573	5523	4099
574	5531	4088
575	5539	4077
576	5547	4066
577	5555	4056
578	5562	4044
579	5570	4033
580	5578	4023
581	5587	4012
582	5595	4002
583	5602	3991
584	5611	3980
585	5619	3970
586	5626	3958
587	5633	3947
588	5641	3936
589	5650	3926
590	5658	3916
591	5668	3906
592	5675	3895
593	5686	3886
594	5696	3877
595	5709	3870
596	5722	3862
597	5732	3853
598	5741	3843
599	5749	3833
600	5758	3822
601	5766	3812
602	5773	3801
603	5781	3790
604	5788	3779
605	5795	3768
606	5803	3757
607	5810	3746
608	5818	3735
609	5825	3724
610	5833	3713
611	5841	3703
612	5848	3692
613	5856	3681
614	5863	3670
615	5870	3659
616	5877	3648
617	5884	3637
618	5891	3626
619	5898	3615
620	5905	3604
621	5912	3593
622	5920	3582
623	5927	3571
624	5935	3561
625	5943	3550
626	5951	3540
627	5959	3530
628	5966	3519
629	5976	3509
630	5984	3499
631	5995	3491
632	6007	3482
633	6017	3473
634	6026	3463
635	6033	3453
636	6041	3442
637	6048	3432
638	6058	3422
639	6065	3411
640	6075	3402
641	6086	3393
642	6095	3384
643	6105	3375
644	6113	3364
645	6122	3354
646	6129	3344
647	6138	3334
648	6148	3325
649	6158	3315
650	6168	3306
651	6180	3298
652	6191	3289
653	6203	3281
654	6214	3273
655	6223	3263
656	6231	3253
657	6242	3244
658	6254	3236
659	6264	3227
660	6276	3218
661	6285	3209
662	6296	3200
663	6308	3192
664	6317	3182
665	6327	3173
666	6335	3163
667	6345	3153
668	6357	3145
669	6366	3135
670	6377	3127
671	6390	3119
672	6403	3111
673	6414	3102
674	6423	3092
675	6433	3083
676	6440	3072
677	6447	3062
678	6456	3052
679	6468	3043
680	6477	3034
681	6485	3023
682	6495	3014
683	6506	3005
684	6515	2996
685	6523	2986
686	6531	2975
687	6542	2966
688	6552	2957
689	6560	2947
690	6573	2939
691	6584	2930
692	6593	2920
693	6603	2911
694	6611	2901
695	6621	2891
696	6628	2881
697	6635	2870
698	6642	2860
699	6652	2851
700	6662	2841
701	6672	2832
702	6680	2822
703	6691	2813
704	6702	2804
705	6710	2794
706	6718	2784
707	6725	2773
708	6733	2763
709	6740	2753
710	6747	2742
711	6755	2732
712	6765	2723
713	6775	2714
714	6784	2704
715	6792	2694
716	6800	2684
717	6810	2674
718	6821	2666
719	6832	2656
720	6840	2646
721	6847	2636
722	6854	2626
723	6865	2617
724	6875	2608
725	6887	2599
726	6898	2590
727	6909	2581
728	6918	2572
729	6928	2562
730	6935	2552
731	6947	2543
732	6958	2534
733	6969	2525
734	6980	2516
735	6991	2507
736	7002	2498
737	7013	2489
738	7023	2480
739	7030	2470
740	7038	2460
741	7045	2449
742	7055	2440
743	7065	2431
744	7076	2422
745	7084	2412
746	7095	2403
747	7106	2394
748	7116	2384
749	7125	2375
750	7135	2365
751	7143	2355
752	7151	2345
753	7162	2336
754	7174	2328
755	7184	2318
756	7195	2309
757	7206	2300
758	7218	2291
759	7229	2282
760	7238	2273
761	7247	2263
762	7255	2253
763	7266	2244
764	7278	2235
765	7290	2227
766	7302	2218
767	7313	2209
768	7322	2199
769	7329	2189
770	7336	2179
771	7343	2168
772	7349	2158
773	7356	2147
774	7362	2137
775	7369	2127
776	7375	2116
777	7383	2106
778	7390	2096
779	7397	2086
780	7404	2076
781	7411	2066
782	7418	2055
783	7425	2045
784	7432	2035
785	7438	2025
786	7444	2014
787	7452	2004
788	7464	1996
789	7477	1987
790	7489	1978
791	7503	1970
792	7515	1961
793	7524	1952
794	7536	1943
795	7548	1934
796	7561	1925
797	7574	1917
798	7585	1908
799	7594	1898
800	7603	1888
801	7611	1879
802	7618	1868
803	7625	1858
804	7634	1849
805	7641	1839
806	7648	1829
807	7657	1819
808	7667	1810
809	7679	1801
810	7691	1792
811	7701	1783
812	7712	1774
813	7724	1765
814	7734	1755
815	7746	1746
816	7758	1737
817	7769	1728
818	7778	1719
819	7789	1709
820	7800	1700
821	7810	1691
822	7821	1682
823	7831	1672
824	7839	1662
825	7849	1653
826	7860	1644
827	7872	1635
828	7881	1625
829	7892	1616
830	7904	1607
831	7915	1598
832	7923	1588
833	7934	1579
834	7946	1570
835	7959	1561
836	7971	1552
837	7983	1543
838	7994	1534
839	8006	1525
840	8018	1515
841	8028	1506
842	8037	1496
843	8044	1486
844	8052	1477
845	8061	1467
846	8069	1457
847	8080	1448
848	8091	1439
849	8103	1430
850	8114	1420
851	8124	1411
852	8136	1402
853	8147	1392
854	8155	1383
855	8163	1373
856	8173	1363
857	8184	1354
858	8196	1345
859	8206	1335
860	8215	1326
861	8226	1316
862	8236	1307
863	8245	1297
864	8253	1288
865	8263	1278
866	8275	1269
867	8285	1259
868	8296	1250
869	8308	1241
870	8318	1232
871	8327	1222
872	8338	1212
873	8349	1203
874	8360	1194
875	8372	1185
876	8382	1175
877	8392	1166
878	8405	1157
879	8415	1147
880	8424	1137
881	8432	1128
882	8439	1118
883	8448	1108
884	8454	1098
885	8464	1089
886	8476	1079
887	8486	1070
888	8498	1061
889	8509	1051
890	8520	1042
891	8533	1033
892	8544	1023
893	8556	1014
894	8568	1005
895	8581	996
896	8593	986
897	8604	977
898	8616	968
899	8628	958
900	8638	949
901	8648	939
902	8657	929
903	8668	920
904	8679	911
905	8688	901
906	8696	891
907	8708	882
908	8719	872
909	8731	863
910	8741	854
911	8750	844
912	8762	834
913	8771	825
914	8781	815
915	8789	805
916	8797	796
917	8804	786
918	8813	776
919	8821	767
920	8829	757
921	8838	747
922	8846	738
923	8853	728
924	8860	718
925	8867	708
926	8874	698
927	8882	689
928	8889	679
929	8897	669
930	8907	660
931	8916	650
932	8928	641
933	8937	631
934	8946	621
935	8953	612
936	8962	602
937	8970	592
938	8981	583
939	8992	574
940	9002	564
941	9012	554
942	9020	545
943	9028	535
944	9035	525
945	9046	516
946	9059	507
947	9068	497
948	9078	487
949	9091	478
950	9103	469
951	9115	459
952	9126	450
953	9138	440
954	9150	431
955	9162	421
956	9174	412
957	9186	402
958	9199	393
959	9211	383
960	9222	374
961	9231	364
962	9238	354
963	9250	345
964	9263	335
965	9275	326
966	9288	316
967	9300	307
968	9312	297
969	9323	288
970	9332	278
971	9340	269
972	9353	259
973	9365	249
974	9378	240
975	9391	230
976	9404	221
977	9415	211
978	9428	202
979	9441	192
980	9459	183
981	9467	173
982	9475	163
983	9482	154
984	9489	144
985	9498	134
986	9510	125
987	9520	115
988	9529	105
989	9537	96
990	9548	86
991	9558	77
992	9569	67
993	9577	57
994	9587	48
995	9600	38
996	9612	28
997	9623	19
998	9635	9
999	9644	0
