iter	MultiClass
191	0.3298555417
192	0.3287355684
193	0.3273781652
194	0.325689375
195	0.3246551838
196	0.3225854296
197	0.3214786277
198	0.3200338998
199	0.318922479
200	0.3173836811
201	0.3168532634
202	0.3145855695
203	0.3131869568
204	0.3120026285
205	0.3111227087
206	0.3099381592
207	0.3084286926
208	0.3068053388
209	0.3058677286
210	0.3048951126
211	0.3038544224
212	0.3023452281
213	0.3012186094
214	0.2999808154
215	0.2990283903
216	0.2978428852
217	0.2961761042
218	0.2953254859
219	0.2937220919
220	0.2928612403
221	0.2922931921
222	0.2906935263
223	0.2895777703
224	0.2887007916
225	0.2871634417
226	0.2859813852
227	0.2846975638
228	0.2837243914
229	0.2829705694
230	0.2820453042
231	0.2806494067
232	0.2797016457
233	0.2785302265
234	0.2774897142
235	0.2766722346
236	0.2754955769
237	0.2742301211
238	0.2734377253
239	0.2730173383
240	0.272310707
241	0.2714029533
242	0.2702436493
243	0.2687743795
244	0.2671723011
245	0.2664935056
246	0.2658942106
247	0.265366352
248	0.2640983921
249	0.2634749884
250	0.2626641308
251	0.261421749
252	0.2603842886
253	0.2587015535
254	0.2575742128
255	0.2565100777
256	0.2561466505
257	0.2551695088
258	0.2540721257
259	0.2530492432
260	0.2520757359
261	0.2510886304
262	0.250380158
263	0.2495850962
264	0.2491059029
265	0.2485284141
266	0.2473851005
267	0.2467078703
268	0.2459098872
269	0.2448175495
270	0.2442267778
271	0.2431407531
272	0.242391157
273	0.2416451576
274	0.2407674772
275	0.2396948386
276	0.2389749664
277	0.2382060269
278	0.2371214853
279	0.2359165617
280	0.2350465908
281	0.2343635202
282	0.2335479177
283	0.2326463202
284	0.2319201419
285	0.2310847207
286	0.2303693872
287	0.2300149289
288	0.2293260345
289	0.2284187849
290	0.2277778979
291	0.2270296426
292	0.2264595485
293	0.2256587046
294	0.2245188683
295	0.2233213365
296	0.2221178912
297	0.2215692259
298	0.2204814657
299	0.2195069767
300	0.2185555356
301	0.2181213267
302	0.2176646923
303	0.2170472123
304	0.2158114654
305	0.2149917409
306	0.2138951879
307	0.2130228031
308	0.2123452686
309	0.2111666352
310	0.2107133075
311	0.2104026337
312	0.2096390621
313	0.2088981042
314	0.2081161844
315	0.2071673823
316	0.2066607974
317	0.2059011444
318	0.2054448651
319	0.2047620081
320	0.2040898999
321	0.2033659886
322	0.2024715338
323	0.2017247035
324	0.2010773849
325	0.2002030625
326	0.1997701222
327	0.1990182461
328	0.1980737941
329	0.1973697108
330	0.1969580466
331	0.1964434451
332	0.1958726581
333	0.1954384876
334	0.1949898011
335	0.1944082734
336	0.1940016332
337	0.1930455314
338	0.1919835524
339	0.1914885504
340	0.1909212981
341	0.1899434281
342	0.1896226543
343	0.1890968188
344	0.1883583485
345	0.187886272
346	0.1871184705
347	0.1865215563
348	0.1861226706
349	0.1852999519
350	0.1848077664
351	0.1844457455
352	0.183796695
353	0.1835339092
354	0.1831780625
355	0.1824113002
356	0.1819638276
357	0.1814569796
358	0.1808485681
359	0.1801616908
360	0.1796095913
361	0.1788019855
362	0.1781453192
363	0.1780164346
364	0.177434826
365	0.1767845737
366	0.1762127547
367	0.1758643738
368	0.1755043688
369	0.1749750245
370	0.1744666981
371	0.1740251316
372	0.1733343446
373	0.1728843307
374	0.1723092938
375	0.1715927392
376	0.1710545431
377	0.1706455133
378	0.1703479279
379	0.1698846061
380	0.1694881289
381	0.1688264472
382	0.1681528178
383	0.1677991717
384	0.1674568087
385	0.1670743829
386	0.1665293046
387	0.1662904182
388	0.1658220682
389	0.1654561341
390	0.1648518141
391	0.164033657
392	0.1634007039
393	0.1626812022
394	0.1622611117
395	0.1617089841
396	0.1612171221
397	0.160562974
398	0.1599549002
399	0.159728313
400	0.1591650581
401	0.1587522089
402	0.1584636394
403	0.1581738477
404	0.1577133702
405	0.157383852
406	0.1567785456
407	0.1562434667
408	0.1560369042
409	0.155608491
410	0.1549974991
411	0.1546638015
412	0.1542472591
413	0.1538770253
414	0.1536449018
415	0.1531144434
416	0.1527267395
417	0.1522002875
418	0.1515781614
419	0.151163544
420	0.150628138
421	0.1502809348
422	0.1497616986
423	0.1491855448
424	0.1489194173
425	0.1486968355
426	0.1482720814
427	0.148077015
428	0.1475882749
429	0.1467783735
430	0.14633804
431	0.1456378952
432	0.1452199291
433	0.1447575786
434	0.1443223198
435	0.1440306794
436	0.1436304405
437	0.1433793371
438	0.1431440095
439	0.1428928035
440	0.1425403831
441	0.1422517765
442	0.1417822131
443	0.1411083867
444	0.1407437553
445	0.1404345809
446	0.1401980557
447	0.1397048125
448	0.1390797871
449	0.1389036983
450	0.1383519254
451	0.1381363166
452	0.1373856618
453	0.1369105496
454	0.1364650297
455	0.1359252871
456	0.1355721858
457	0.1353286393
458	0.1350723506
459	0.1345073981
460	0.1341841161
461	0.133531344
462	0.133217931
463	0.1327273022
464	0.1324046423
465	0.1320730913
466	0.1316614303
467	0.1313397149
468	0.1310177219
469	0.1306567721
470	0.1303344566
471	0.1300081466
472	0.1297902223
473	0.1293830243
474	0.1291097896
475	0.1287513155
476	0.1284378312
477	0.1282340595
478	0.1278667629
479	0.1275615807
480	0.1272103936
481	0.1267891208
482	0.126217364
483	0.1259231797
484	0.1256767655
485	0.125272811
486	0.1251307331
487	0.1248742603
488	0.1245524108
489	0.1242704647
490	0.1238187294
491	0.1235786517
492	0.1232989582
493	0.1230753376
494	0.1228952945
495	0.1226615648
496	0.1222171046
497	0.122047295
498	0.1217315188
499	0.1214146425
500	0.1212315217
501	0.1207462883
502	0.1202560175
503	0.1201050224
504	0.1196560494
505	0.119398138
506	0.1190538971
507	0.1187674338
508	0.1185310573
509	0.1180802301
510	0.1175830867
511	0.117245154
512	0.1169570931
513	0.1166202346
514	0.1162526259
515	0.1160435333
516	0.1157152447
517	0.1155265653
518	0.1151175305
519	0.1148068209
520	0.1146422618
521	0.1142332119
522	0.1138921003
523	0.1135564475
524	0.1132779456
525	0.112976732
526	0.1126588768
527	0.1122183648
528	0.111997936
529	0.1117316684
530	0.1114800466
531	0.1112039152
532	0.1109734932
533	0.1106339356
534	0.1104649769
535	0.1099997775
536	0.1098147749
537	0.1096294888
538	0.1093484041
539	0.1090931092
540	0.1086864056
541	0.1083712644
542	0.1080036338
543	0.1075793847
544	0.1074537679
545	0.107229053
546	0.1070156388
547	0.1067734473
548	0.106521856
549	0.1063967296
550	0.1061623134
551	0.1060892916
552	0.10568367
553	0.1054234848
554	0.1051045467
555	0.1050363924
556	0.1049343378
557	0.1045776932
558	0.1043689919
559	0.1042219897
560	0.1040919227
561	0.1039274017
562	0.1035896504
563	0.1034685383
564	0.1030544153
565	0.1028086803
566	0.1025195956
567	0.1021924959
568	0.1018576969
569	0.1016906895
570	0.1014369719
571	0.1011796546
572	0.1010526878
573	0.1009087982
574	0.1006556523
575	0.1003576704
576	0.1001749694
577	0.09994417956
578	0.09974504077
579	0.09949603974
580	0.09922321041
581	0.09895576004
582	0.0987617812
583	0.09848471954
584	0.09820892598
585	0.09812242509
586	0.09796577003
587	0.09777375687
588	0.09755155697
589	0.09731187433
590	0.09711952602
591	0.09697007626
592	0.09683980246
593	0.09662087959
594	0.09641208187
595	0.09624869719
596	0.09601812561
597	0.09571396061
598	0.0955565555
599	0.09548700435
600	0.09515176735
601	0.09496908615
602	0.09478275819
603	0.09467415704
604	0.09442379979
605	0.09424066612
606	0.09398587946
607	0.09380124352
608	0.09358578489
609	0.09328628678
610	0.0930798045
611	0.09299971044
612	0.09283674887
613	0.09257072162
614	0.0922270145
615	0.0919103909
616	0.0917501368
617	0.09148037111
618	0.09119906056
619	0.09091552882
620	0.09071673085
621	0.09052740348
622	0.09026775017
623	0.09007895114
624	0.0900040244
625	0.08975462139
626	0.0895933475
627	0.08941908093
628	0.08924335701
629	0.08900781256
630	0.08874856965
631	0.08853976962
632	0.08837250908
633	0.08812285555
634	0.08794578553
635	0.08772243169
636	0.08753852359
637	0.08734676312
638	0.087124789
639	0.08684103738
640	0.0866624887
641	0.08642506735
642	0.08625378928
643	0.08615185068
644	0.08597528781
645	0.08573276199
646	0.08551776078
647	0.08536621278
648	0.08521760713
649	0.0850312728
650	0.08492324955
651	0.08473068142
652	0.08454259067
653	0.08434540109
654	0.0841332577
655	0.0840314142
656	0.083814679
657	0.08357342259
658	0.08341346754
659	0.08328785053
660	0.08318027409
661	0.08308720791
662	0.08300088114
663	0.08281477958
664	0.0826137783
665	0.08241810619
666	0.08223095529
667	0.08202909443
668	0.08177394128
669	0.08160824464
670	0.08143503613
671	0.08116739034
672	0.08103542855
673	0.0808735001
674	0.08069388168
675	0.08052532026
676	0.08037614385
677	0.08022844461
678	0.08007091653
679	0.07987852072
680	0.07976933123
681	0.07955550216
682	0.07947740795
683	0.07934535639
684	0.07918367086
685	0.07899403
686	0.07875014015
687	0.07863023787
688	0.07843400213
689	0.07828896783
690	0.07813198367
691	0.07800845706
692	0.0777993551
693	0.07762132207
694	0.07753348755
695	0.07738229289
696	0.07716020635
697	0.07705871193
698	0.07693506141
699	0.07676528685
700	0.07671341394
701	0.07646956531
702	0.07630676095
703	0.07622946327
704	0.07608688793
705	0.07592681819
706	0.07582350818
707	0.07563545632
708	0.07550561292
709	0.07532727142
710	0.07523717665
711	0.07508453651
712	0.07492877143
713	0.07478503626
714	0.07463424489
715	0.07446303405
716	0.07435567183
717	0.07423202517
718	0.07406444716
719	0.07396749765
720	0.07386449223
721	0.07378270191
722	0.07363388627
723	0.07355983672
724	0.07340779294
725	0.07329435718
726	0.07314594102
727	0.07308928447
728	0.0730430244
729	0.07294635137
730	0.07277280239
731	0.07269160184
732	0.072597122
733	0.07242698271
734	0.0723885325
735	0.07216141333
736	0.07196972222
737	0.07189891015
738	0.07180431838
739	0.07173464425
740	0.07160623781
741	0.07148224238
742	0.07133854437
743	0.07116103639
744	0.07101176392
745	0.07092092548
746	0.07081278708
747	0.07076966996
748	0.07070774999
749	0.07052478193
750	0.070266501
751	0.07011918284
752	0.06999710058
753	0.06986257664
754	0.06977008721
755	0.06960241538
756	0.06949448038
757	0.06936814984
758	0.06917210718
759	0.06902636394
760	0.06888999286
761	0.06879072272
762	0.06870813247
763	0.06861741012
764	0.0684105545
765	0.06832292092
766	0.06815146257
767	0.06801675317
768	0.06790108795
769	0.06782473947
770	0.0676667437
771	0.06760402277
772	0.0675320183
773	0.06740748659
774	0.06729905002
775	0.06711733153
776	0.0670152549
777	0.06688055008
778	0.06664997574
779	0.06648438978
780	0.06632945123
781	0.06617335277
782	0.06595029319
783	0.06589125153
784	0.06580649182
785	0.06571544055
786	0.06553447261
787	0.0653668916
788	0.06528016928
789	0.06518679965
790	0.06506702834
791	0.06490451337
792	0.06478053166
793	0.06462159858
794	0.06450329661
795	0.06442226951
796	0.06426849295
797	0.06414000582
798	0.06408831759
799	0.06396444863
800	0.06380860846
801	0.06371214367
802	0.06362938389
803	0.06346783088
804	0.06333907208
805	0.06322621902
806	0.06310702639
807	0.06303768435
808	0.06295023567
809	0.06286627715
810	0.06276600927
811	0.06262902002
812	0.06253947429
813	0.06247784339
814	0.06237360455
815	0.06223915767
816	0.0620996717
817	0.06196909921
818	0.06191778252
819	0.06180535731
820	0.06163296056
821	0.06154363812
822	0.06142384176
823	0.06132463796
824	0.06126161111
825	0.06111419025
826	0.06105038811
827	0.06095528043
828	0.06086971271
829	0.06081318705
830	0.06074199548
831	0.06067227228
832	0.06053543064
833	0.06042528298
834	0.06031567338
835	0.06026455681
836	0.06018238985
837	0.06010570325
838	0.05995700921
839	0.0598647211
840	0.0597155951
841	0.05964502293
842	0.05951961491
843	0.05947582068
844	0.05941269233
845	0.05930341762
846	0.05925186315
847	0.05911718103
848	0.05902159264
849	0.05890943476
850	0.05876447184
851	0.05870196451
852	0.05863956925
853	0.05843067736
854	0.05835531032
855	0.05821415233
856	0.05814023747
857	0.05800162801
858	0.05788341764
859	0.05780842821
860	0.05773507823
861	0.05762767325
862	0.05745542181
863	0.05738251258
864	0.05728463674
865	0.05716703568
866	0.0570795333
867	0.05699985208
868	0.05689147301
869	0.05682992397
870	0.05673113616
871	0.05662958877
872	0.05651714422
873	0.05645363375
874	0.05637681055
875	0.0562808671
876	0.05617302528
877	0.05605952656
878	0.05595890841
879	0.05586066489
880	0.05580673916
881	0.05568349016
882	0.05555757768
883	0.05541214781
884	0.05531388437
885	0.05524149311
886	0.05517746334
887	0.05510770134
888	0.05500537038
889	0.05495013807
890	0.05486957595
891	0.05480661892
892	0.05474163419
893	0.05466528787
894	0.0545642658
895	0.05446489333
896	0.05432358446
897	0.05424579063
898	0.05419727278
899	0.05413302133
900	0.05399807214
901	0.05389813467
902	0.05380435084
903	0.05373416899
904	0.0537036402
905	0.05365037972
906	0.05356331931
907	0.05348586614
908	0.05340066006
909	0.05332511078
910	0.05321705439
911	0.05310307473
912	0.05301543314
913	0.05293373751
914	0.05282712341
915	0.05275118176
916	0.05271800931
917	0.05266302324
918	0.05253068664
919	0.05243050273
920	0.05237437041
921	0.05230621816
922	0.05220976849
923	0.0521361134
924	0.05205914031
925	0.05196000032
926	0.05176949616
927	0.05171009085
928	0.05166488427
929	0.05160330852
930	0.05152641409
931	0.0514843484
932	0.05141760994
933	0.05132101646
934	0.05120084532
935	0.05109856352
936	0.05101361823
937	0.05095274336
938	0.05090515525
939	0.05084736424
940	0.05079670175
941	0.05072438582
942	0.05061416106
943	0.05052507142
944	0.05045013542
945	0.0503929478
946	0.05033193465
947	0.05024770349
948	0.05021231834
949	0.05010627423
950	0.05002337655
951	0.04997360061
952	0.0498766285
953	0.04979581895
954	0.0497633647
955	0.04968930933
956	0.04958940762
957	0.04949712976
958	0.04941418182
959	0.0493342038
960	0.04921740698
961	0.04919847337
962	0.04911333429
963	0.04907469825
964	0.04901868737
965	0.04896962123
966	0.04888576624
967	0.04881927655
968	0.04874634277
969	0.04866930481
970	0.04857405415
971	0.0485034343
972	0.04841794229
973	0.04832617398
974	0.04825289347
975	0.04821134195
976	0.04814309147
977	0.04809063822
978	0.04801413918
979	0.04793490986
980	0.04789997913
981	0.04781409915
982	0.04774563992
983	0.04770376301
984	0.04760322339
985	0.0475664967
986	0.04748281064
987	0.04740484331
988	0.04731134944
989	0.04722946128
990	0.04716604775
991	0.04712837871
992	0.04707628204
993	0.04703585598
994	0.04699335825
995	0.04693588502
996	0.04685376966
997	0.04678605229
998	0.04672992514
999	0.04667147399
